CSI_SITE_HANDLE,CSI_ADDRESS_ID,CSI_CORE_SITE_ID,CSI_CUST_HANDLE,CSI_ORDER_HANDLE,CSI_SERVICEHANDLE,CSI_USID,CSI_SERVICEELEMENTCLASS,GOLD_SITE_CODE,GOLD_ADDRESS_ID,GOLD_CORE_SITE_ID,GOLD_STATUS,GOLD_ICO,IS_AVAILABLE_AFTER_ADD_WHITESPACE
9252-Edinburgh,,,9252,45987,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,9252-Edinburgh,,,0,9252,CSI_SITEHANDLE_FOUND_IN_GOLD
ING Seoul Life Ins,,,1668,65762,IP_VPN,NOT REQUIRED,NOT REQUIRED,ING Seoul Life Ins,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
TR-GE-ATOFK-01,CI00040130,CI00039912,44034,54272,IP_VPN,NOT REQUIRED,NOT REQUIRED,TR-GE-ATOFK-01,CI00040130,CI00039912,0,44034,CSI_SITEHANDLE_FOUND_IN_GOLD
Rotterdam Nui's,,,1668,63256,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,Rotterdam Nui's,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
Rotterdam Nui's,,,1668,63272,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,Rotterdam Nui's,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
JO-AA-JKB-01,,,43454,51206,IP_VPN,NOT REQUIRED,NOT REQUIRED,JO-AA-JKB-01,,,0,43454,CSI_SITEHANDLE_FOUND_IN_GOLD
Caracas01,CI00066351,CI00065916,9594,53193,IP_VPN,NOT REQUIRED,NOT REQUIRED,Caracas01,CI00066351,CI00065916,0,9594,CSI_SITEHANDLE_FOUND_IN_GOLD
BEIJING1,,,4005,51854,IP_VPN,NOT REQUIRED,NOT REQUIRED,BEIJING1,,,0,4005,CSI_SITEHANDLE_FOUND_IN_GOLD
Hainan-CAN,,,42543,65562,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Hainan-CAN,,,0,42543,CSI_SITEHANDLE_FOUND_IN_GOLD
Hainan-CTU,,,42543,65538,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Hainan-CTU,,,0,42543,CSI_SITEHANDLE_FOUND_IN_GOLD
Burgos ISDN,MA18000190,MS18000179,5710,60901,IP_VPN,NOT REQUIRED,NOT REQUIRED,Burgos ISDN,MA18000190,MS18000179,0,5710,CSI_SITEHANDLE_FOUND_IN_GOLD
Fresenius Tassin,,,3824,68563,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,Fresenius Tassin,,,0,3824,CSI_SITEHANDLE_FOUND_IN_GOLD
CA-TrendMicro,MAG5321460,MSG5321992,9351,66684,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,CA-TrendMicro,MAG5321460,MSG5321992,0,9351,CSI_SITEHANDLE_FOUND_IN_GOLD
Chittagong,MA10000367,MS10000351,9594,47426,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Chittagong,MA10000367,MS10000351,0,9594,CSI_SITEHANDLE_FOUND_IN_GOLD
AD-KOR-AnYang,,,33155,66167,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,AD-KOR-AnYang,,,0,33155,CSI_SITEHANDLE_FOUND_IN_GOLD
Causeway Bay_222618,MA18000506,MS18000487,3822,63449,INTERNET_DIRECT_PURPLE,NOT REQUIRED,NOT REQUIRED,Causeway Bay_222618,MA18000506,MS18000487,0,3822,CSI_SITEHANDLE_FOUND_IN_GOLD
HR-054,,,2646,71899,X_25,NOT REQUIRED,NOT REQUIRED,HR-054,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
Visa - Petro,,,2442,60677,X_25,NOT REQUIRED,NOT REQUIRED,Visa - Petro,,,0,2442,CSI_SITEHANDLE_FOUND_IN_GOLD
KONE A.S Shiran Tower,,,9503,63841,IP_VPN,NOT REQUIRED,NOT REQUIRED,KONE A.S Shiran Tower,,,0,9503,CSI_SITEHANDLE_FOUND_IN_GOLD
AE-ML-ADIA-02,,,44291,56903,IP_VPN,NOT REQUIRED,NOT REQUIRED,AE-ML-ADIA-02,,,0,44291,CSI_SITEHANDLE_FOUND_IN_GOLD
KND N??rnberg BO,,,41145,67381,IP_VPN,NOT REQUIRED,NOT REQUIRED,,,,,,CSI_SITEHANDLE_NOT_FOUND_IN_GOLD
Milano(TF),,,2198,48496,PPP_DIAL,NOT REQUIRED,NOT REQUIRED,Milano(TF),,,0,2198,CSI_SITEHANDLE_FOUND_IN_GOLD
IBM-SPKKGKE,MAG5322643,MSG5323204,42802,50479,IP_VPN,NOT REQUIRED,NOT REQUIRED,IBM-SPKKGKE,MAG5322643,MSG5323204,0,42802,CSI_SITEHANDLE_FOUND_IN_GOLD
Shen,,,10900,67706,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Shen,,,0,10900,CSI_SITEHANDLE_FOUND_IN_GOLD
Shanghai42556,,,42556,44798,IP_VPN,NOT REQUIRED,NOT REQUIRED,Shanghai42556,,,0,42556,CSI_SITEHANDLE_FOUND_IN_GOLD
GB3,,,10964,61054,IP_VPN,NOT REQUIRED,NOT REQUIRED,GB3,,,0,10964,CSI_SITEHANDLE_FOUND_IN_GOLD
VT / US / HAMPTON,,,16250,61573,IP_VPN,NOT REQUIRED,NOT REQUIRED,VT / US / HAMPTON,,,0,16250,CSI_SITEHANDLE_FOUND_IN_GOLD
LUXB23772-1,,,4639,36558,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,LUXB23772-1,,,0,4639,CSI_SITEHANDLE_FOUND_IN_GOLD
4233 BUKAREST KA,,,4233,52327,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,4233 BUKAREST KA,,,0,4233,CSI_SITEHANDLE_FOUND_IN_GOLD
LONA01,,,35503,49182,IP_VPN,NOT REQUIRED,NOT REQUIRED,LONA01,,,0,35503,CSI_SITEHANDLE_FOUND_IN_GOLD
L BARRIERE LONDON,,,7332,45093,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,L BARRIERE LONDON,,,0,7332,CSI_SITEHANDLE_FOUND_IN_GOLD
Manama KPMG,,,10246,42711,IP_VPN,NOT REQUIRED,NOT REQUIRED,Manama KPMG,,,0,10246,CSI_SITEHANDLE_FOUND_IN_GOLD
FRI,CI00064933,CI00064504,9461,61643,IP_VPN,NOT REQUIRED,NOT REQUIRED,FRI,CI00064933,CI00064504,0,23651,CSI_SITEHANDLE_FOUND_IN_GOLD
DUR01,,,9231,59586,IP_VPN,NOT REQUIRED,NOT REQUIRED,DUR01,,,0,9231,CSI_SITEHANDLE_FOUND_IN_GOLD
Charles de Gaulle,,,28537,61620,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Charles de Gaulle,,,0,28537,CSI_SITEHANDLE_FOUND_IN_GOLD
ESSB5309-3,MAG5102003,MSG5102029,5309,33597,IP_VPN,NOT REQUIRED,NOT REQUIRED,ESSB5309-3,MAG5102003,MSG5102029,0,5309,CSI_SITEHANDLE_FOUND_IN_GOLD
Ag. Boyaca,,,35943,55873,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Ag. Boyaca,,,0,35943,CSI_SITEHANDLE_FOUND_IN_GOLD
4233_Kuwait,,,4233,60556,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,4233_Kuwait,,,0,4233,CSI_SITEHANDLE_FOUND_IN_GOLD
4233 Laibach,,,4233,60565,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,4233 Laibach,,,0,4233,CSI_SITEHANDLE_FOUND_IN_GOLD
4233-Emb,,,4233,60569,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,4233-Emb,,,0,4233,CSI_SITEHANDLE_FOUND_IN_GOLD
Back up Hub,MAG5316034,MSG5316368,6462,45452,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,Back up Hub,MAG5316034,MSG5316368,0,6462,CSI_SITEHANDLE_FOUND_IN_GOLD
JP-Yokohama,,,25355,63693,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,JP-Yokohama,,,0,25355,CSI_SITEHANDLE_FOUND_IN_GOLD
Langenhagen Site,,,35765,56085,IP_VPN,NOT REQUIRED,NOT REQUIRED,Langenhagen Site,,,0,35765,CSI_SITEHANDLE_FOUND_IN_GOLD
ESTEC,MAG5208907,MSG5209083,9765,64795,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,ESTEC,MAG5208907,MSG5209083,0,9765,CSI_SITEHANDLE_FOUND_IN_GOLD
CUUB7788-1,,,7788,56759,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,CUUB7788-1,,,0,7788,CSI_SITEHANDLE_FOUND_IN_GOLD
HKG,,,4142,61974,IP_VPN,NOT REQUIRED,NOT REQUIRED,HKG,,,0,4142,CSI_SITEHANDLE_FOUND_IN_GOLD
DTC,,,10619,58300,ATM_PURPLE,NOT REQUIRED,NOT REQUIRED,DTC,,,0,10619,CSI_SITEHANDLE_FOUND_IN_GOLD
Singapore-Technopark,,,7533,65098,ATM,NOT REQUIRED,NOT REQUIRED,Singapore-Technopark,,,0,29595,CSI_SITEHANDLE_FOUND_IN_GOLD
Heerlen,,,9229,59766,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Heerlen,,,0,9229,CSI_SITEHANDLE_FOUND_IN_GOLD
Guayaquil_053919,CI00038998,CI00038789,3822,63799,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Guayaquil_053919,CI00038998,CI00038789,0,3822,CSI_SITEHANDLE_FOUND_IN_GOLD
NCLB4024-1,,,4024,64919,IP_VPN,NOT REQUIRED,NOT REQUIRED,NCLB4024-1,,,0,4024,CSI_SITEHANDLE_FOUND_IN_GOLD
9813 - Saga,,,9813,59908,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,9813 - Saga,,,0,9813,CSI_SITEHANDLE_FOUND_IN_GOLD
Austria- Wien 3,,,39350,53284,IP_VPN,NOT REQUIRED,NOT REQUIRED,Austria- Wien 3,,,0,39350,CSI_SITEHANDLE_FOUND_IN_GOLD
Budapest,CI00098821,CI00098140,1799,65165,IP_VPN,NOT REQUIRED,NOT REQUIRED,Budapest,CI00098821,CI00098140,0,684256,CSI_SITEHANDLE_FOUND_IN_GOLD
BHPB-180,,,4655,58957,IP_VPN,NOT REQUIRED,NOT REQUIRED,BHPB-180,,,0,4655,CSI_SITEHANDLE_FOUND_IN_GOLD
Yamagata_036078,CI00020713,CI00020622,3822,63453,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Yamagata_036078,CI00020713,CI00020622,0,3822,CSI_SITEHANDLE_FOUND_IN_GOLD
RadioShack-TPE,,,41500,76338,IP_VPN,NOT REQUIRED,NOT REQUIRED,RadioShack-TPE,,,0,41500,CSI_SITEHANDLE_FOUND_IN_GOLD
NYCB-4244-1,,,4244,55054,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,NYCB-4244-1,,,0,4244,CSI_SITEHANDLE_FOUND_IN_GOLD
Rotterdam Nui's,,,1668,45743,X_25_PURPLE,NOT REQUIRED,NOT REQUIRED,Rotterdam Nui's,,,0,1668,CSI_SITEHANDLE_FOUND_IN_GOLD
Israeli Embassy-Moscow,,,24632,59179,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,Israeli Embassy-Moscow,,,0,24632,CSI_SITEHANDLE_FOUND_IN_GOLD
Helsinki  Finland,,,10513,44620,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,Helsinki  Finland,,,0,10513,CSI_SITEHANDLE_FOUND_IN_GOLD
Zarlink Plymouth,,,9994,51558,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Zarlink Plymouth,,,0,9994,CSI_SITEHANDLE_FOUND_IN_GOLD
Bank One,,,6265,52334,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Bank One,,,0,6265,CSI_SITEHANDLE_FOUND_IN_GOLD
Rosenthal,,,6265,52785,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,Rosenthal,,,0,6265,CSI_SITEHANDLE_FOUND_IN_GOLD
Culiacan (ATM),,,9493,41116,ATM,NOT REQUIRED,NOT REQUIRED,Culiacan (ATM),,,0,9493,CSI_SITEHANDLE_FOUND_IN_GOLD
VSDS/FR/ CRETEIL,,,16250,61569,IP_VPN,NOT REQUIRED,NOT REQUIRED,VSDS/FR/ CRETEIL,,,0,16250,CSI_SITEHANDLE_FOUND_IN_GOLD
PA Consulting group-Paris,,,2245,56483,IP_VPN,NOT REQUIRED,NOT REQUIRED,PA Consulting group-Paris,,,0,2245,CSI_SITEHANDLE_FOUND_IN_GOLD
Hamburg Site,,,35765,56094,IP_VPN,NOT REQUIRED,NOT REQUIRED,Hamburg Site,,,0,35765,CSI_SITEHANDLE_FOUND_IN_GOLD
MI_Moscow,,,19124,34585,IP_VPN,NOT REQUIRED,NOT REQUIRED,MI_Moscow,,,0,19124,CSI_SITEHANDLE_FOUND_IN_GOLD
CALLE_ALSTOM_42429,,,42429,59149,IP_VPN,NOT REQUIRED,NOT REQUIRED,CALLE_ALSTOM_42429,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
INBOM01,CI00099358,CI00098677,10524,73277,INTRANET_CONNECT,NOT REQUIRED,NOT REQUIRED,INBOM01,CI00099358,CI00098677,0,683098,CSI_SITEHANDLE_FOUND_IN_GOLD
TIZAYUCA_ALSTOM_42429,,,42429,59253,IP_VPN,NOT REQUIRED,NOT REQUIRED,TIZAYUCA_ALSTOM_42429,,,0,42429,CSI_SITEHANDLE_FOUND_IN_GOLD
