ORANGE_SITENAME,ADDRESS_ID,CORE_SITE_ID,SITECODE,UPDATED_SITECODE,UPDATED_ORANGE_SITENAME
GB - Wolverhampton-Marston's Ltd,,,GB - Wolverhampton-Marston's Ltd,GB - Wolverhampton-Marstons Ltd_SC,GB - Wolverhampton-Marstons Ltd_SC
FRED9923 - ED J. D'ARC,,,FRED9923 - ED J. D'ARC,FRED9923 - ED J. DARC_SC,FRED9923 - ED J. DARC_SC
N'Djamena,,,N'Djamena,NDjamena_SC,NDjamena_SC
N'Djamena1,,,N'Djamena1,NDjamena1_SC,NDjamena1_SC
O'Fallon,,,O'Fallon,OFallon_SC,OFallon_SC
Oy Hempel's Marine Paints Ab,,,Oy Hempel's Marine Paints Ab,Oy Hempels Marine Paints Ab_SC,Oy Hempels Marine Paints Ab_SC
Mofat-Cote D'Ivoire,CI00023262,CI00023165,Mofat-Cote D'Ivoire,Mofat-Cote DIvoire_SC,Mofat-Cote D'Ivoire
Aeroport de Conakry G'Bessia,,,Aeroport de Conakry G'Bessia,Aeroport de Conakry GBessia_SC,Aeroport de Conakry GBessia_SC
ANC-Argosy Int'l-US,,,ANC-Argosy Int'l-US,ANC-Argosy Intl-US_SC,ANC-Argosy Intl-US_SC
Aéroport Bangui M'Poko,,,Aéroport Bangui M'Poko,Aéroport Bangui MPoko_SC,Aéroport Bangui MPoko_SC
STANDARD & POOR'S,,,STANDARD & POOR'S,STANDARD  POORS_SC,STANDARD  POORS_SC
5122 Villeneuve d'Ascq,MA10002074,MS10002025,5122 Villeneuve d'Ascq,5122 Villeneuve dAscq_SC,5122 Villeneuve d'Ascq
NL - L'OREAL Netherlands,MAG4213779,MSG4213972,NL - L'OREAL Netherlands,NL - LOREAL Netherlands_SC,NL - L'OREAL Netherlands
675192_USA_Central Valley_00001,MA16005680,MS16005546,"TOD'S CENTRAL VALLEY, N.Y.","TODS CENTRAL VALLEY, N.Y._SC",675192_USA_Central Valley_00001
NL 's-Hertogenbosch MTPI-NL,MA17001780,MS17001718,NL 's-Hertogenbosch MTPI-NL,NL s-Hertogenbosch MTPI-NL_SC,NL 's-Hertogenbosch MTPI-NL
LGECI-Engineer's Office,,,LGECI-Engineer's Office,LGECI-Engineers Office_SC,LGECI-Engineers Office_SC
Moody's Data Center TX,,,Moody's Data Center TX,Moodys Data Center TX_SC,Moodys Data Center TX_SC
_DEDUP_Moody's Data Center KY_DEDUP_,MAG4318328,MSG4318653,Moody's Data Center KY,Moodys Data Center KY_SC,_DEDUP_Moody's Data Center KY_DEDUP_
web_CH_ L'oreal Suisse,MAG4216142,MSG4216396,web_CH_ L'oreal Suisse,web_CH_ Loreal Suisse_SC,web_CH_ L'oreal Suisse
STANDARD &  POOR'S,,,STANDARD &  POOR'S,STANDARD   POORS_SC,STANDARD   POORS_SC
JICA_Cote D'ivoire,MAG5322863,MSG5323428,JICA_Cote D'ivoire,JICA_Cote Divoire_SC,JICA_Cote D'ivoire
web_AE_L'OREAL Middle East FZE,,,web_AE_L'OREAL Middle East FZE,web_AE_LOREAL Middle East FZE_SC,web_AE_LOREAL Middle East FZE_SC
FR - Cedex-6 Place d'alleray,,,FR - Cedex-6 Place d'alleray,FR - Cedex-6 Place dalleray_SC,FR - Cedex-6 Place dalleray_SC
FRED2636 - Saint Chely d'apcher,,,FRED2636 - Saint Chely d'apcher,FRED2636 - Saint Chely dapcher_SC,FRED2636 - Saint Chely dapcher_SC
SITE 238,CI00017460,CI00017379,0238-Hangzhou Otis-Xi'an,0238-Hangzhou Otis-Xian_SC,SITE 238
ANC-Jebsen's PH,MAG5320310,MSG5320778,ANC-Jebsen's PH,ANC-Jebsens PH_SC,ANC-Jebsen's PH
ANC-BUD Int' CN,,,ANC-BUD Int' CN,ANC-BUD Int CN_SC,ANC-BUD Int CN_SC
AT - Vienna 1300 - Int'l Airport,,,AT - Vienna 1300 - Int'l Airport,AT - Vienna 1300 - Intl Airport_SC,AT - Vienna 1300 - Intl Airport_SC
St.John's NFLD,,,St.John's NFLD,St.Johns NFLD_SC,St.Johns NFLD_SC
MX_c_web_L'OREAL MEXICO,MA09003065,MS09002985,MX_c_web_L'OREAL MEXICO,MX_c_web_LOREAL MEXICO_SC,MX_c_web_L'OREAL MEXICO
CN- L'OREAL CHINA,,,CN- L'OREAL CHINA,CN- LOREAL CHINA_SC,CN- LOREAL CHINA_SC
L'Oreal Denmark,,,L'Oreal Denmark,LOreal Denmark_SC,LOreal Denmark_SC
4058-Dalian-Xi'an,,,4058-Dalian-Xi'an,4058-Dalian-Xian_SC,4058-Dalian-Xian_SC
ANC-BUD Int'l-JP,MAG5319661,MSG5320084,ANC-BUD Int'l-JP,ANC-BUD Intl-JP_SC,ANC-BUD Int'l-JP
L'OREAL DENMARK,MAG4212920,MSG4213106,L'OREAL DENMARK,LOREAL DENMARK_SC,L'OREAL DENMARK
L'OREAL TAIWAN,,,L'OREAL TAIWAN,LOREAL TAIWAN_SC,LOREAL TAIWAN_SC
"PT - Paco d'Arcos - Quinta da Fonte, Edi",CI00006707,CI00006663,"PT - Paco d'Arcos - Quinta da Fonte, Edi","PT - Paco dArcos - Quinta da Fonte, E_SC","PT - Paco d'Arcos - Quinta da Fonte, Edi"
AR_L'OREAL ARGENTINA,,,AR_L'OREAL ARGENTINA,AR_LOREAL ARGENTINA_SC,AR_LOREAL ARGENTINA_SC
'APL Cavite Philippines,,,'APL Cavite Philippines,APL Cavite Philippines_SC,APL Cavite Philippines_SC
's Hertogenbosch_001055,,,'s Hertogenbosch_001055,s Hertogenbosch_001055_SC,s Hertogenbosch_001055_SC
_DEDUP_Metro Hub Located at Service Pro,MAG5323309,MSG5323887,Metro Hub Located at Service Provider's,Metro Hub Located at Service Provider_SC,_DEDUP_Metro Hub Located at Service Pro
FR_Villeneuve d'Asq_Areva,MAG4211842,MSG4212016,FR_Villeneuve d'Asq_Areva,FR_Villeneuve dAsq_Areva_SC,FR_Villeneuve d'Asq_Areva
J'BURG INT'L AIRPORT,,,J'BURG INT'L AIRPORT,JBURG INTL AIRPORT_SC,JBURG INTL AIRPORT_SC
FRED9923  ED J. D'ARC,,,FRED9923  ED J. D'ARC,FRED9923  ED J. DARC_SC,FRED9923  ED J. DARC_SC
O'Fallon_000440,,,O'Fallon_000440,OFallon_000440_SC,OFallon_000440_SC
"KUAL LUMPUR INT'L AIRPORT, MAS ADVANCE C",,,"KUAL LUMPUR INT'L AIRPORT, MAS ADVANCE C","KUAL LUMPUR INTL AIRPORT, MAS ADVANCE_SC","KUAL LUMPUR INTL AIRPORT, MAS ADVANCE_SC"
Huai'an Company,MAG5209898,MSG5210095,Huai'an Company,Huaian Company_SC,Huai'an Company
"JOMO KENYATTA INT'L AIRPORT, NAIROBI CAR",,,"JOMO KENYATTA INT'L AIRPORT, NAIROBI CAR","JOMO KENYATTA INTL AIRPORT, NAIROBI C_SC","JOMO KENYATTA INTL AIRPORT, NAIROBI C_SC"
Sana'a_000886,,,Sana'a_000886,Sanaa_000886_SC,Sanaa_000886_SC
KN Trezzo d'Adda,,,KN Trezzo d'Adda,KN Trezzo dAdda_SC,KN Trezzo dAdda_SC
FR47_L'OREAL DR NANTES,MA09003069,MS09002988,FR47_L'OREAL DR NANTES,FR47_LOREAL DR NANTES_SC,FR47_L'OREAL DR NANTES
FRCHF0469 Champion L'isle Jourdain (SA,,,FRCHF0469 Champion L'isle Jourdain (SA,FRCHF0469 Champion Lisle Jourdain (SA_SC,FRCHF0469 Champion Lisle Jourdain (SA_SC
Haakon VII's gt. 9,,,Haakon VII's gt. 9,Haakon VIIs gt. 9_SC,Haakon VIIs gt. 9_SC
"606, McDonel Road, San Fransisco Int'l A",,,"606, McDonel Road, San Fransisco Int'l A","606, McDonel Road, San Fransisco Intl_SC","606, McDonel Road, San Fransisco Intl_SC"
NIL (Xi'an) - CN - DECO,,,NIL (Xi'an) - CN - DECO,NIL (Xian) - CN - DECO_SC,NIL (Xian) - CN - DECO_SC
Yaroslavl'_000234,,,Yaroslavl'_000234,Yaroslavl_000234_SC,Yaroslavl_000234_SC
Saint Genest D'Ambiere_000789,,,Saint Genest D'Ambiere_000789,Saint Genest DAmbiere_000789_SC,Saint Genest DAmbiere_000789_SC
"CARGO TERMINAL 08307, BORIPOL INT'L AIRP",,,"CARGO TERMINAL 08307, BORIPOL INT'L AIRP","CARGO TERMINAL 08307, BORIPOL INTL AI_SC","CARGO TERMINAL 08307, BORIPOL INTL AI_SC"
INTN'L PRAHA-RUZYNE AIRP. TERM. 2 NORTH,,,INTN'L PRAHA-RUZYNE AIRP. TERM. 2 NORTH,INTNL PRAHA-RUZYNE AIRP. TERM. 2 NORT_SC,INTNL PRAHA-RUZYNE AIRP. TERM. 2 NORT_SC
10964_ROU_Bucharest_001,MAG4214428,MSG4214633,RO-L'Oréal Romania,RO-LOréal Romania_SC,10964_ROU_Bucharest_001
ANC-BUD Int' JP-Tokyo,,,ANC-BUD Int' JP-Tokyo,ANC-BUD Int JP-Tokyo_SC,ANC-BUD Int JP-Tokyo_SC
9656_TCD_N'Djamena_001,CI00045900,CI00045634,AA-TD-N'Djamena,AA-TD-NDjamena_SC,9656_TCD_N'Djamena_001
FRPRO - 38 - PROMOCASH Champagne Mt D'or,CI00036351,CI00036161,FRPRO - 38 - PROMOCASH Champagne Mt D'or,FRPRO - 38 - PROMOCASH Champagne Mt D_SC,FRPRO - 38 - PROMOCASH Champagne Mt D'or
L'Oreal Argentina,MAG4320137,MSG4320521,L'Oreal Argentina,LOreal Argentina_SC,L'Oreal Argentina
Moody's Cyprus Limited,MAG4318327,MSG4318652,Moody's Cyprus Limited,Moodys Cyprus Limited_SC,Moody's Cyprus Limited
L'ETANG LA VILLE,MAG5210332,MSG5210537,L'ETANG LA VILLE,LETANG LA VILLE_SC,L'ETANG LA VILLE
AC57',,,AC57',AC57_SC,AC57_SC
10964_PAK_Karachi_00001_MIG_002,MA09003075,MS09002993,PK_L'OREAL KARACHI,PK_LOREAL KARACHI_SC,10964_PAK_Karachi_00001_MIG_002
ROMANO D'EZZELINO,,,ROMANO D'EZZELINO,ROMANO DEZZELINO_SC,ROMANO DEZZELINO_SC
_DEDUP_ZFS Jo'burg_DEDUP_,CI00021936,CI00021844,ZFS Jo'burg,ZFS Joburg_SC,_DEDUP_ZFS Jo'burg_DEDUP_
Calusco D'Adda,,,Calusco D'Adda,Calusco DAdda_SC,Calusco DAdda_SC
D'ANJOU,,,D'ANJOU,DANJOU_SC,DANJOU_SC
CONCA D'ORO,,,CONCA D'ORO,CONCA DORO_SC,CONCA DORO_SC
CASSANO D'ADDA,,,CASSANO D'ADDA,CASSANO DADDA_SC,CASSANO DADDA_SC
HONGQIAO INT'L AIRPORT,,,HONGQIAO INT'L AIRPORT,HONGQIAO INTL AIRPORT_SC,HONGQIAO INTL AIRPORT_SC
SG3 L'OREAL C/O IBM,MAG4214859,MSG4215071,SG3 L'OREAL C/O IBM,SG3 LOREAL C/O IBM_SC,SG3 L'OREAL C/O IBM
MONDOVI',,,MONDOVI',MONDOVI_SC,MONDOVI_SC
4291-Xi'an,MAG5319468,MSG5319878,4291-Xi'an,4291-Xian_SC,4291-Xi'an
JiangBei Int'l Airport,,,JiangBei Int'l Airport,JiangBei Intl Airport_SC,JiangBei Intl Airport_SC
US11-L'OREAL USINE,,,US11-L'OREAL USINE,US11-LOREAL USINE_SC,US11-LOREAL USINE_SC
US15-L'OREAL,MAG4215670,MSG4215915,US15-L'OREAL,US15-LOREAL_SC,US15-L'OREAL
Pudong int'l Airport,,,Pudong int'l Airport,Pudong intl Airport_SC,Pudong intl Airport_SC
Pudong int'l Airport 2,,,Pudong int'l Airport 2,Pudong intl Airport 2_SC,Pudong intl Airport 2_SC
"Moody's Latin America,",MAG4318329,MSG4318654,Moody's Latin America;,Moodys Latin America-_SC,"Moody's Latin America,"
INT'L AIRPORT GUANGZHOU,,,INT'L AIRPORT GUANGZHOU,INTL AIRPORT GUANGZHOU_SC,INTL AIRPORT GUANGZHOU_SC
Baiyun Int'l Airport,,,Baiyun Int'l Airport,Baiyun Intl Airport_SC,Baiyun Intl Airport_SC
LUKOU INT'L AIRPORT,,,LUKOU INT'L AIRPORT,LUKOU INTL AIRPORT_SC,LUKOU INTL AIRPORT_SC
JP-NIHON L'OREAL,MAG4212792,MSG4212978,JP-NIHON L'OREAL,JP-NIHON LOREAL_SC,JP-NIHON L'OREAL
L'OREAL UNIVERSITY,MAG4212973,MSG4213161,L'OREAL UNIVERSITY,LOREAL UNIVERSITY_SC,L'OREAL UNIVERSITY
NZ - L'OREAL,MAG4213922,MSG4214119,NZ - L'OREAL,NZ - LOREAL_SC,NZ - L'OREAL
10964_DNK_GREVE_001,MAG4209563,MSG4209733,DK2 l'Oréal Denmark A/S,DK2 lOréal Denmark A/S_SC,10964_DNK_GREVE_001
L'OREAL PEROU,MAG4212953,MSG4213139,L'OREAL PEROU,LOREAL PEROU_SC,L'OREAL PEROU
QUARTU SANT'ELENA,,,QUARTU SANT'ELENA,QUARTU SANTELENA_SC,QUARTU SANTELENA_SC
TORRE D'ISOLA PAVIA,,,TORRE D'ISOLA PAVIA,TORRE DISOLA PAVIA_SC,TORRE DISOLA PAVIA_SC
ARQUA' POLESINE,,,ARQUA' POLESINE,ARQUA POLESINE_SC,ARQUA POLESINE_SC
Moody's Central Europe Prague,,,Moody's Central Europe Prague,Moodys Central Europe Prague_SC,Moodys Central Europe Prague_SC
Season's Place Shopping Center,,,Season's Place Shopping Center,Seasons Place Shopping Center_SC,Seasons Place Shopping Center_SC
MINERBIO(Ca' de Fabbri),,,MINERBIO(Ca' de Fabbri),MINERBIO(Ca de Fabbri)_SC,MINERBIO(Ca de Fabbri)_SC
Villevane D'Ornon_000771,,,Villevane D'Ornon_000771,Villevane DOrnon_000771_SC,Villevane DOrnon_000771_SC
RAA'NANA,CI00035253,CI00035076,RAA'NANA,RAANANA_SC,RAA'NANA
ES099b-DIA's Data Center in Telvent Hsng,MAG5208895,MSG5209071,ES099b-DIA's Data Center in Telvent Hsng,ES099b-DIAs Data Center in Telvent Hs_SC,ES099b-DIA's Data Center in Telvent Hsng
L'Oreal - Johannesburg,MAG4212981,MSG4213169,L'Oreal - Johannesburg,LOreal - Johannesburg_SC,L'Oreal - Johannesburg
L'OREAL THAILAND,MAG4212962,MSG4213150,L'OREAL THAILAND,LOREAL THAILAND_SC,L'OREAL THAILAND
"Colombo, 49 Buller's Lane",MAG4103676,MSG4103757,"Colombo, 49 Buller's Lane","Colombo, 49 Bullers Lane_SC","Colombo, 49 Buller's Lane"
FR27 BIS l'oreal Columbia,,,FR27 BIS l'oreal Columbia,FR27 BIS loreal Columbia_SC,FR27 BIS loreal Columbia_SC
FR3P12 - STAR's SERVICES - Epinay sur Se,,,FR3P12 - STAR's SERVICES - Epinay sur Se,FR3P12 - STARs SERVICES - Epinay sur _SC,FR3P12 - STARs SERVICES - Epinay sur _SC
L'OREAL LIBRAMONT,MAG4212945,MSG4213131,L'OREAL LIBRAMONT,LOREAL LIBRAMONT_SC,L'OREAL LIBRAMONT
L'OREAL HELLAS,MAG4212930,MSG4213116,L'OREAL HELLAS,LOREAL HELLAS_SC,L'OREAL HELLAS
Philadelphia Int'l Airport,,,Philadelphia Int'l Airport,Philadelphia Intl Airport_SC,Philadelphia Intl Airport_SC
L'OREAL KOREA,MAG4212941,MSG4213127,L'OREAL KOREA,LOREAL KOREA_SC,L'OREAL KOREA
SG L'OREAL singapore,,,SG L'OREAL singapore,SG LOREAL singapore_SC,SG LOREAL singapore_SC
SAINT MEDARD D'EYRANS ALLOIN,,,SAINT MEDARD D'EYRANS ALLOIN,SAINT MEDARD DEYRANS ALLOIN_SC,SAINT MEDARD DEYRANS ALLOIN_SC
ST SYMPHORIEN D'OZON ALLOIN,,,ST SYMPHORIEN D'OZON ALLOIN,ST SYMPHORIEN DOZON ALLOIN_SC,ST SYMPHORIEN DOZON ALLOIN_SC
VILLANOVA D'ARDENGHI (PV) KN,,,VILLANOVA D'ARDENGHI (PV) KN,VILLANOVA DARDENGHI (PV) KN_SC,VILLANOVA DARDENGHI (PV) KN_SC
PE2-L'OREAL PEROU,MAG4214083,MSG4214280,PE2-L'OREAL PEROU,PE2-LOREAL PEROU_SC,PE2-L'OREAL PEROU
'0158,,,'0158,0158_SC,0158_SC
10964_ZAF_Centurion_00002,MAG4216014,MSG4216265,ZA2-L'OREAL SOUTH AFRICA - CENTURION,ZA2-LOREAL SOUTH AFRICA - CENTURION_SC,10964_ZAF_Centurion_00002
SPRINT CANADA INT'L,,,SPRINT CANADA INT'L,SPRINT CANADA INTL_SC,SPRINT CANADA INTL_SC
L'OREAL INDONESIA,MAG4212937,MSG4213123,L'OREAL INDONESIA,LOREAL INDONESIA_SC,L'OREAL INDONESIA
SG3-L'OREAL C/O IBM,MAG4214861,MSG4215073,SG3-L'OREAL C/O IBM,SG3-LOREAL C/O IBM_SC,SG3-L'OREAL C/O IBM
FR121-I6 - Isle d'Abeau,,,FR121-I6 - Isle d'Abeau,FR121-I6 - Isle dAbeau_SC,FR121-I6 - Isle dAbeau_SC
VILLENEUVE D'ASCQ_000145,MAG4215811,MSG4216058,VILLENEUVE D'ASCQ_000145,VILLENEUVE DASCQ_000145_SC,VILLENEUVE D'ASCQ_000145
CL3 - L'OREAL CHILE,CI00004995,CI00004965,CL2 - L'OREAL CHILE,CL2 - LOREAL CHILE_SC,CL3 - L'OREAL CHILE
UY2 - L'OREAL URUGUAY,CI00005684,CI00005652,UY2 - L'OREAL URUGUAY,UY2 - LOREAL URUGUAY_SC,UY2 - L'OREAL URUGUAY
TH2 L'OREAL thailande,MAG4215220,MSG4215435,TH2 L'OREAL thailande,TH2 LOREAL thailande_SC,TH2 L'OREAL thailande
L'Oreal - TORINO,,,L'Oreal - TORINO,LOreal - TORINO_SC,LOreal - TORINO_SC
SAINT CYR AU MONT D'OR_000999,,,SAINT CYR AU MONT D'OR_000999,SAINT CYR AU MONT DOR_000999_SC,SAINT CYR AU MONT DOR_000999_SC
FINANCIERE DE L'ECHIQUIER,CI00059572,CI00059192,FINANCIERE DE L'ECHIQUIER,FINANCIERE DE LECHIQUIER_SC,FINANCIERE DE L'ECHIQUIER
DEVA TOD'S GROUP,,,DEVA TOD'S GROUP,DEVA TODS GROUP_SC,DEVA TODS GROUP_SC
L'OREAL BELGILUX,MAG4212918,MSG4213104,L'OREAL BELGILUX,LOREAL BELGILUX_SC,L'OREAL BELGILUX
HK5 - L'OREAL HONG KONG,MAG4212261,MSG4212440,HK5 - L'OREAL HONG KONG,HK5 - LOREAL HONG KONG_SC,HK5 - L'OREAL HONG KONG
L'OREAL ARGENTINA,MAG4212915,MSG4213101,L'OREAL ARGENTINA,LOREAL ARGENTINA_SC,L'OREAL ARGENTINA
BE01-BERCHEMSTEAGATH-QUIN,CI00005833,CI00005798,L'Oreal Berghem St Agathe,LOreal Berghem St Agathe_SC,BE01-BERCHEMSTEAGATH-QUIN
JP4 L'OREAL JAPAN c/o,MAG4212802,MSG4212988,JP4 L'OREAL JAPAN c/o,JP4 LOREAL JAPAN c/o_SC,JP4 L'OREAL JAPAN c/o
CN4 - L'OREAL CHINA,MAG4209134,MSG4209302,CN4 - L'OREAL CHINA,CN4 - LOREAL CHINA_SC,CN4 - L'OREAL CHINA
Thomas Cook',,,Thomas Cook',Thomas Cook_SC,Thomas Cook_SC
CL2- L'OREAL CHILE,MAG4208682,MSG4208849,CL2- L'OREAL CHILE,CL2- LOREAL CHILE_SC,CL2- L'OREAL CHILE
Paris_QUAI D'ASTERLITZ,,,Paris_QUAI D'ASTERLITZ,Paris_QUAI DASTERLITZ_SC,Paris_QUAI DASTERLITZ_SC
Lofty-St Teresa's Hosiptal Hong Kong,MAG5323166,MSG5323742,Lofty-St Teresa's Hosiptal Hong Kong,Lofty-St Teresas Hosiptal Hong Kong_SC,Lofty-St Teresa's Hosiptal Hong Kong
L'oreal - Milano,,,L'oreal - Milano,Loreal - Milano_SC,Loreal - Milano_SC
MARSAC SUR L'ISLE ALLOIN,MA09000312,MS09000304,MARSAC SUR L'ISLE ALLOIN,MARSAC SUR LISLE ALLOIN_SC,MARSAC SUR L'ISLE ALLOIN
L'OREAL URUGUAY,,,L'OREAL URUGUAY,LOREAL URUGUAY_SC,LOREAL URUGUAY_SC
FRED1653 - ST CYR L'ECOLE,,,FRED1653 - ST CYR L'ECOLE,FRED1653 - ST CYR LECOLE_SC,FRED1653 - ST CYR LECOLE_SC
L'Oréal Vietnam,MAG4212991,MSG4213179,L'Oréal Vietnam,LOréal Vietnam_SC,L'Oréal Vietnam
10492_L'Union,,,10492_L'Union,10492_LUnion_SC,10492_LUnion_SC
CO2 -L'OREAL COLOMBIA,MAG4209250,MSG4209418,CO2 -L'OREAL COLOMBIA,CO2 -LOREAL COLOMBIA_SC,CO2 -L'OREAL COLOMBIA
Women's Secret 1935,,,Women's Secret 1935,Womens Secret 1935_SC,Womens Secret 1935_SC
SG 4 - l'OREAL SINGAPORE,,,SG 4 - l'OREAL SINGAPORE,SG 4 - lOREAL SINGAPORE_SC,SG 4 - lOREAL SINGAPORE_SC
SAINT OUEN L'AUMONE Stef,,,SAINT OUEN L'AUMONE Stef,SAINT OUEN LAUMONE Stef_SC,SAINT OUEN LAUMONE Stef_SC
ERS AT L'OREAL WIEN,,,ERS AT L'OREAL WIEN,ERS AT LOREAL WIEN_SC,ERS AT LOREAL WIEN_SC
FR49- L'Oréal Roye,MAG4211156,MSG4211330,FR49- L'Oréal Roye,FR49- LOréal Roye_SC,FR49- L'Oréal Roye
Italcementi - Vaprio D'Adda,,,Italcementi - Vaprio D'Adda,Italcementi - Vaprio DAdda_SC,Italcementi - Vaprio DAdda_SC
L'OREAL LATVIA,MAG4212942,MSG4213128,L'OREAL LATVIA,LOREAL LATVIA_SC,L'OREAL LATVIA
L'OREAL ACADEMY CA4,MAG4212914,MSG4213100,L'OREAL ACADEMY CA4,LOREAL ACADEMY CA4_SC,L'OREAL ACADEMY CA4
L'OREAL ATWELL,MAG4212916,MSG4213102,L'OREAL ATWELL,LOREAL ATWELL_SC,L'OREAL ATWELL
L'OREAL HICKMORE,MAG4212931,MSG4213117,L'OREAL HICKMORE,LOREAL HICKMORE_SC,L'OREAL HICKMORE
BE6 L'OREAL BENELUX SA,,,BE6 L'OREAL BENELUX SA,BE6 LOREAL BENELUX SA_SC,BE6 LOREAL BENELUX SA_SC
SG3 L'OREAL SINGAPORE C/O IBM,MAG4214860,MSG4215072,SG3 L'OREAL SINGAPORE C/O IBM,SG3 LOREAL SINGAPORE C/O IBM_SC,SG3 L'OREAL SINGAPORE C/O IBM
HK4 L'OREAL HONG KONG,MAG4212260,MSG4212439,HK4 L'OREAL HONG KONG,HK4 LOREAL HONG KONG_SC,HK4 L'OREAL HONG KONG
10964_ZAF_JOHANNESBURG--Grand Central_0,MAG4216015,MSG4216266,ZA3 L'OREAL Soth Africa,ZA3 LOREAL Soth Africa_SC,10964_ZAF_JOHANNESBURG--Grand Central_0
WOMEN'S SECRET 1591,,,WOMEN'S SECRET 1591,WOMENS SECRET 1591_SC,WOMENS SECRET 1591_SC
FRCHF0514 - Carrefour Market PONT L'ABBE,,,FRCHF0514 - Carrefour Market PONT L'ABBE,FRCHF0514 - Carrefour Market PONT LAB_SC,FRCHF0514 - Carrefour Market PONT LAB_SC
Sana'a_000098,MAG5324101,MSG5324692,Sana'a_000098,Sanaa_000098_SC,Sana'a_000098
L'OREAL USA COLO 1,MAG4212975,MSG4213163,L'OREAL USA COLO 1,LOREAL USA COLO 1_SC,L'OREAL USA COLO 1
L'OREAL USA COLO 2,MAG4212976,MSG4213164,L'OREAL USA COLO 2,LOREAL USA COLO 2_SC,L'OREAL USA COLO 2
Ra'anana_000064,,,Ra'anana_000064,Raanana_000064_SC,Raanana_000064_SC
ERS PH L'OREAL PHILIPPINES,MAG4209746,MSG4209917,ERS PH L'OREAL PHILIPPINES,ERS PH LOREAL PHILIPPINES_SC,ERS PH L'OREAL PHILIPPINES
ID-L'OREAL INDONESIA,MAG4212360,MSG4212542,ID-L'OREAL INDONESIA,ID-LOREAL INDONESIA_SC,ID-L'OREAL INDONESIA
FR_VILLENEUVE D'ASCQ_TOP OFFICE,MAG4211841,MSG4212015,FR_VILLENEUVE D'ASCQ_TOP OFFICE,FR_VILLENEUVE DASCQ_TOP OFFICE_SC,FR_VILLENEUVE D'ASCQ_TOP OFFICE
L'Oréal Malaysia,MAG4212989,MSG4213177,L'Oréal Malaysia,LOréal Malaysia_SC,L'Oréal Malaysia
L'OREAL SPAIN,,,L'OREAL SPAIN,LOREAL SPAIN_SC,LOREAL SPAIN_SC
L'OREAL R&D SOLON,,,L'OREAL R&D SOLON,LOREAL RD SOLON_SC,LOREAL RD SOLON_SC
L'Oréal SINGAPORE,MAG4212990,MSG4213178,L'Oréal SINGAPORE,LOréal SINGAPORE_SC,L'Oréal SINGAPORE
L'OREAL RIO,MAG4212956,MSG4213143,L'OREAL RIO,LOREAL RIO_SC,L'OREAL RIO
STANDARD & POOR'S COMSTOCKS,,,STANDARD & POOR'S COMSTOCKS,STANDARD  POORS COMSTOCKS_SC,STANDARD  POORS COMSTOCKS_SC
Forum Int' Maroc,MAG4424245,MSG4424748,Forum Int' Maroc,Forum Int Maroc_SC,Forum Int' Maroc
ID - L'OREAL INDONESIA,MAG4212351,MSG4212533,ID - L'OREAL INDONESIA,ID - LOREAL INDONESIA_SC,ID - L'OREAL INDONESIA
GUN - Guaynabo',MAG4212155,MSG4212333,GUN - Guaynabo',GUN - Guaynabo_SC,GUN - Guaynabo'
L'Oréal Chili,MAG4212984,MSG4213172,L'Oréal Chili,LOréal Chili_SC,L'Oréal Chili
10964_TUR_Istanbul__MIG1027,MAG4215444,MSG4215662,TR3 l'OREAL TURKEY,TR3 lOREAL TURKEY_SC,10964_TUR_Istanbul__MIG1027
Agfa-St Teresa's Hosiptal HK,CI00013643,CI00013569,Agfa-St Teresa's Hosiptal HK,Agfa-St Teresas Hosiptal HK_SC,Agfa-St Teresa's Hosiptal HK
Women's Secret 1937,,,Women's Secret 1937,Womens Secret 1937_SC,Womens Secret 1937_SC
Women's Secret,,,Women's Secret,Womens Secret_SC,Womens Secret_SC
L'OREAL ERS TURKIYE KOZMETIK,,,L'OREAL ERS TURKIYE KOZMETIK,LOREAL ERS TURKIYE KOZMETIK_SC,LOREAL ERS TURKIYE KOZMETIK_SC
Innsbruck',,,Innsbruck',Innsbruck_SC,Innsbruck_SC
VILLENEUVE D'ASCQ_000327,MAG4215812,MSG4216059,VILLENEUVE D'ASCQ_000327,VILLENEUVE DASCQ_000327_SC,VILLENEUVE D'ASCQ_000327
L'OREAL TURKIYE KOZMETIK,MAG4212963,MSG4213151,L'OREAL TURKIYE KOZMETIK,LOREAL TURKIYE KOZMETIK_SC,L'OREAL TURKIYE KOZMETIK
TOD'S JAPAN K.K.,,,TOD'S JAPAN K.K.,TODS JAPAN K.K._SC,TODS JAPAN K.K._SC
ERS CH L'OREAL SUISSE SA,MAG4209741,MSG4209912,ERS CH L'OREAL SUISSE SA,ERS CH LOREAL SUISSE SA_SC,ERS CH L'OREAL SUISSE SA
Cote d'lvore Embassy,MAG5321791,MSG5322333,Cote d'lvore Embassy,Cote dlvore Embassy_SC,Cote d'lvore Embassy
DSL_THAI AIRWAYS INT'L_SYDTOTG_DSLP,,,DSL_THAI AIRWAYS INT'L_SYDTOTG_DSLP,DSL_THAI AIRWAYS INTL_SYDTOTG_DSLP_SC,DSL_THAI AIRWAYS INTL_SYDTOTG_DSLP_SC
