ORANGE_SITENAME,ADDRESS_ID,CORE_SITE_ID,SITECODE,UPDATED_SITECODE,UPDATED_ORANGE_SITENAME
K&N-Saigon,,,K&N-Saigon,KN-Saigon_SC,KN-Saigon_SC
BM-BankofButterfield&Son-001,,,BM-BankofButterfield&Son-001,BM-BankofButterfieldSon-001_SC,BM-BankofButterfieldSon-001_SC
Le Meridien V&A,,,Le Meridien V&A,Le Meridien VA_SC,Le Meridien VA_SC
Trinidad & Tobago,,,Trinidad & Tobago,Trinidad  Tobago_SC,Trinidad  Tobago_SC
Allen & Overy London DR c/o Guardian DR,,,Allen & Overy London DR c/o Guardian DR,Allen  Overy London DR c/o Guardian D_SC,Allen  Overy London DR c/o Guardian D_SC
Eur. Inst. - CoR & ESSC,,,Eur. Inst. - CoR & ESSC,Eur. Inst. - CoR  ESSC_SC,Eur. Inst. - CoR  ESSC_SC
Chadbourne & Parke LLP,,,Chadbourne & Parke LLP,Chadbourne  Parke LLP_SC,Chadbourne  Parke LLP_SC
P&ONL (Strasbourg),,,P&ONL (Strasbourg),PONL (Strasbourg)_SC,PONL (Strasbourg)_SC
Petro Canada/Veba Oil & Gas,,,Petro Canada/Veba Oil & Gas,Petro Canada/Veba Oil  Gas_SC,Petro Canada/Veba Oil  Gas_SC
Petro Canada/Veba Oil&Gas,,,Petro Canada/Veba Oil&Gas,Petro Canada/Veba OilGas_SC,Petro Canada/Veba OilGas_SC
Stamford L&H,,,Stamford L&H,Stamford LH_SC,Stamford LH_SC
Merck Sharp & Dohme,,,Merck Sharp & Dohme,Merck Sharp  Dohme_SC,Merck Sharp  Dohme_SC
AT & T Financial,,,AT & T Financial,AT  T Financial_SC,AT  T Financial_SC
AT & T Financial NY,,,AT & T Financial NY,AT  T Financial NY_SC,AT  T Financial NY_SC
Petro-Canada/Veba Oil&Gas,,,Petro-Canada/Veba Oil&Gas,Petro-Canada/Veba OilGas_SC,Petro-Canada/Veba OilGas_SC
A&O US DR,,,A&O US DR,AO US DR_SC,AO US DR_SC
Wilmington 141 & Henry,,,Wilmington 141 & Henry,Wilmington 141  Henry_SC,Wilmington 141  Henry_SC
C&G Edinburgh,,,C&G Edinburgh,CG Edinburgh_SC,CG Edinburgh_SC
C&G Leeds,,,C&G Leeds,CG Leeds_SC,CG Leeds_SC
Germany-Munich-R&D,,,Germany-Munich-R&D,Germany-Munich-RD_SC,Germany-Munich-RD_SC
C&G Derbyshire,,,C&G Derbyshire,CG Derbyshire_SC,CG Derbyshire_SC
C&G Cambridge,,,C&G Cambridge,CG Cambridge_SC,CG Cambridge_SC
C&G Cardiff,,,C&G Cardiff,CG Cardiff_SC,CG Cardiff_SC
C&G Taunton,,,C&G Taunton,CG Taunton_SC,CG Taunton_SC
C&G Staffordshire,,,C&G Staffordshire,CG Staffordshire_SC,CG Staffordshire_SC
C&G Belfast,,,C&G Belfast,CG Belfast_SC,CG Belfast_SC
C&G Birmingham,,,C&G Birmingham,CG Birmingham_SC,CG Birmingham_SC
Stevenage R&D,,,Stevenage R&D,Stevenage RD_SC,Stevenage RD_SC
C&G Gateshead,,,C&G Gateshead,CG Gateshead_SC,CG Gateshead_SC
C&G Warrington,,,C&G Warrington,CG Warrington_SC,CG Warrington_SC
US - Secaucus - C/0 AT&T ENS,,,US - Secaucus - C/0 AT&T ENS,US - Secaucus - C/0 ATT ENS_SC,US - Secaucus - C/0 ATT ENS_SC
KND Bremen Bilfinger&Berger,,,KND Bremen Bilfinger&Berger,KND Bremen BilfingerBerger_SC,KND Bremen BilfingerBerger_SC
Pont Eveque R&CC,,,Pont Eveque R&CC,Pont Eveque RCC_SC,Pont Eveque RCC_SC
DE-Bochum M&A,,,DE-Bochum M&A,DE-Bochum MA_SC,DE-Bochum MA_SC
P&G Poland2,,,P&G Poland2,PG Poland2_SC,PG Poland2_SC
P&G Poland,,,P&G Poland,PG Poland_SC,PG Poland_SC
Procter & Gamble Slovenia,,,Procter & Gamble Slovenia,Procter  Gamble Slovenia_SC,Procter  Gamble Slovenia_SC
GR-BlackSeaTrade&Development-002,,,GR-BlackSeaTrade&Development-002,GR-BlackSeaTradeDevelopment-002_SC,GR-BlackSeaTradeDevelopment-002_SC
Tallinn JTI M&S,,,Tallinn JTI M&S,Tallinn JTI MS_SC,Tallinn JTI MS_SC
87947 15 H001 & I001,,,87947 15 H001 & I001,87947 15 H001  I001_SC,87947 15 H001  I001_SC
87947;12H002 & I002,,,87947;12H002 & I002,87947-12H002  I002_SC,87947-12H002  I002_SC
87947;01I010&P005,,,87947;01I010&P005,87947-01I010P005_SC,87947-01I010P005_SC
87947;08;H003&I004,,,87947;08;H003&I004,87947-08-H003I004_SC,87947-08-H003I004_SC
87947;22;H002&I002,,,87947;22;H002&I002,87947-22-H002I002_SC,87947-22-H002I002_SC
DE-WR-HSBCtrinkaus&Burkhardt,,,DE-WR-HSBCtrinkaus&Burkhardt,DE-WR-HSBCtrinkausBurkhardt_SC,DE-WR-HSBCtrinkausBurkhardt_SC
Euroclear - M&S,,,Euroclear - M&S,Euroclear - MS_SC,Euroclear - MS_SC
BR-BM&F-003 (1),,,BR-BM&F-003 (1),BR-BMF-003 (1)_SC,BR-BMF-003 (1)_SC
BR-BM&F-003 (2),MAG5207359,MSG5207499,BR-BM&F-003 (2),BR-BMF-003 (2)_SC,BR-BM&F-003 (2)
BR-PS-BM&S-01,MAG5207364,MSG5207505,BR-PS-BM&S-01,BR-PS-BMS-01_SC,BR-PS-BM&S-01
London - Morgan & Stanley,,,London - Morgan & Stanley,London - Morgan  Stanley_SC,London - Morgan  Stanley_SC
Kuehne&NagelSAPA,,,Kuehne&NagelSAPA,KuehneNagelSAPA_SC,KuehneNagelSAPA_SC
Verona (R&D),,,Verona (R&D),Verona (RD)_SC,Verona (RD)_SC
P&G Timisoara,,,P&G Timisoara,PG Timisoara_SC,PG Timisoara_SC
JP-SY-TheSumitomoTrust&Banking-01,,,JP-SY-TheSumitomoTrust&Banking-01,JP-SY-TheSumitomoTrustBanking-01_SC,JP-SY-TheSumitomoTrustBanking-01_SC
JP-SY-TheSumitomoTrust&Banking-01 (2),MAG5210139,MSG5210341,JP-SY-TheSumitomoTrust&Banking-01 (2),JP-SY-TheSumitomoTrustBanking-01 (2)_SC,JP-SY-TheSumitomoTrust&Banking-01 (2)
JP-SY-TheSumitomoTrust&Banking-02,,,JP-SY-TheSumitomoTrust&Banking-02,JP-SY-TheSumitomoTrustBanking-02_SC,JP-SY-TheSumitomoTrustBanking-02_SC
JP-SY-TheSumitomoTrust&Banking-03,,,JP-SY-TheSumitomoTrust&Banking-03,JP-SY-TheSumitomoTrustBanking-03_SC,JP-SY-TheSumitomoTrustBanking-03_SC
JP-SY-TheSumitomoTrust&Banking-03 (2),MAG5210142,MSG5210344,JP-SY-TheSumitomoTrust&Banking-03 (2),JP-SY-TheSumitomoTrustBanking-03 (2)_SC,JP-SY-TheSumitomoTrust&Banking-03 (2)
BLRP St Ouen T&D,,,BLRP St Ouen T&D,BLRP St Ouen TD_SC,BLRP St Ouen TD_SC
"T&L Tlalnepantla, Mexico",,,"T&L Tlalnepantla, Mexico","TL Tlalnepantla, Mexico_SC","TL Tlalnepantla, Mexico_SC"
Pamplona 2 (A&ET),,,Pamplona 2 (A&ET),Pamplona 2 (AET)_SC,Pamplona 2 (AET)_SC
Blackpool (LVA/A&ET),,,Blackpool (LVA/A&ET),Blackpool (LVA/AET)_SC,Blackpool (LVA/AET)_SC
Schroder & Co Bank,,,Schroder & Co Bank,Schroder  Co Bank_SC,Schroder  Co Bank_SC
Kempen & Co NV,,,Kempen & Co NV,Kempen  Co NV_SC,Kempen  Co NV_SC
Ernst & Young,,,Ernst & Young,Ernst  Young_SC,Ernst  Young_SC
Prague P&G,,,Prague P&G,Prague PG_SC,Prague PG_SC
Bucharest P&G,,,Bucharest P&G,Bucharest PG_SC,Bucharest PG_SC
"G H & Co	",,,"G H & Co	","G H  Co	_SC","G H  Co	_SC"
Casablanca P&G,,,Casablanca P&G,Casablanca PG_SC,Casablanca PG_SC
BH-ML-BankofBahrain&Kuwait-01,,,BH-ML-BankofBahrain&Kuwait-01,BH-ML-BankofBahrainKuwait-01_SC,BH-ML-BankofBahrainKuwait-01_SC
ED&F Man,,,ED&F Man,EDF Man_SC,EDF Man_SC
Bolton M&R Rogè,,,Bolton M&R Rogè,Bolton MR Rogè_SC,Bolton MR Rogè_SC
GB - T&L - Athel House,,,GB - T&L - Athel House,GB - TL - Athel House_SC,GB - TL - Athel House_SC
GB - T&L - Hull East,,,GB - T&L - Hull East,GB - TL - Hull East_SC,GB - TL - Hull East_SC
GB - Tate&Lyle - Hull West,,,GB - Tate&Lyle - Hull West,GB - TateLyle - Hull West_SC,GB - TateLyle - Hull West_SC
Industry & Construction Bank,,,Industry & Construction Bank,Industry  Construction Bank_SC,Industry  Construction Bank_SC
GB - T&L Equant London PoP,,,GB - T&L Equant London PoP,GB - TL Equant London PoP_SC,GB - TL Equant London PoP_SC
Riga (Merck Sharp & Dhome),,,Riga (Merck Sharp & Dhome),Riga (Merck Sharp  Dhome)_SC,Riga (Merck Sharp  Dhome)_SC
Vilnius (Merck Sharp & Dhome),,,Vilnius (Merck Sharp & Dhome),Vilnius (Merck Sharp  Dhome)_SC,Vilnius (Merck Sharp  Dhome)_SC
"GB - T&L - West Float, Birkenhead",,,"GB - T&L - West Float, Birkenhead","GB - TL - West Float, Birkenhead_SC","GB - TL - West Float, Birkenhead_SC"
GB - T&L - North Alfred Dock,,,GB - T&L - North Alfred Dock,GB - TL - North Alfred Dock_SC,GB - TL - North Alfred Dock_SC
Sikkens Apeldoorn Brouwer&vanVeen,,,Sikkens Apeldoorn Brouwer&vanVeen,Sikkens Apeldoorn BrouwervanVeen_SC,Sikkens Apeldoorn BrouwervanVeen_SC
Day & Zimmerman Manchester,,,Day & Zimmerman Manchester,Day  Zimmerman Manchester_SC,Day  Zimmerman Manchester_SC
Bear Stearns & Co,,,Bear Stearns & Co,Bear Stearns  Co_SC,Bear Stearns  Co_SC
Alstom_Stafford T&D,,,Alstom_Stafford T&D,Alstom_Stafford TD_SC,Alstom_Stafford TD_SC
GB - T&L Dagenham UM,,,GB - T&L Dagenham UM,GB - TL Dagenham UM_SC,GB - TL Dagenham UM_SC
GB - T&L Gladstone,MAG5318520,MSG5318916,GB - T&L Gladstone,GB - TL Gladstone_SC,GB - T&L Gladstone
GB - T&L Greenock,,,GB - T&L Greenock,GB - TL Greenock_SC,GB - TL Greenock_SC
GB - T&L Portbury,,,GB - T&L Portbury,GB - TL Portbury_SC,GB - TL Portbury_SC
K&N-Xiamen2,,,K&N-Xiamen2,KN-Xiamen2_SC,KN-Xiamen2_SC
K&N-CGK,,,K&N-CGK,KN-CGK_SC,KN-CGK_SC
